package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
devtools,2.3.2,2.3.2,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/devtools,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/devtools,FALSE,FALSE,2020-09-18,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
digest,0.6.27,0.6.27,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/digest,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/digest,FALSE,FALSE,2020-10-24,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
doParallel,1.0.16,1.0.16,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/doParallel,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/doParallel,TRUE,FALSE,2020-10-16,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
dplyr,1.0.5,1.0.5,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/dplyr,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/dplyr,TRUE,FALSE,2021-03-05,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
effectsize,0.4.4,0.4.4,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/effectsize,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/effectsize,FALSE,FALSE,2021-03-14,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
ellipsis,0.3.1,0.3.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/ellipsis,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/ellipsis,FALSE,FALSE,2020-05-15,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
emmeans,1.5.5.1,1.5.5-1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/emmeans,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/emmeans,FALSE,FALSE,2021-03-21,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
estimability,1.3,1.3,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/estimability,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/estimability,FALSE,FALSE,2018-02-11,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
evaluate,0.14,0.14,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/evaluate,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/evaluate,FALSE,FALSE,2019-05-28,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
fansi,0.4.2,0.4.2,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/fansi,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/fansi,FALSE,FALSE,2021-01-15,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
farver,2.1.0,2.1.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/farver,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/farver,FALSE,FALSE,2021-02-28,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
fastmap,1.1.0,1.1.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/fastmap,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/fastmap,FALSE,FALSE,2021-01-25,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
forcats,0.5.1,0.5.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/forcats,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/forcats,TRUE,FALSE,2021-01-27,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
foreach,1.5.1,1.5.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/foreach,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/foreach,TRUE,FALSE,2020-10-15,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
formatR,1.8,1.8,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/formatR,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/formatR,FALSE,FALSE,2021-03-12,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
fs,1.5.0,1.5.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/fs,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/fs,FALSE,FALSE,2020-07-31,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
generics,0.1.0,0.1.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/generics,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/generics,FALSE,FALSE,2020-10-31,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
ggplot2,3.3.3,3.3.3,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/ggplot2,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/ggplot2,TRUE,FALSE,2020-12-30,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
glue,1.4.2,1.4.2,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/glue,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/glue,FALSE,FALSE,2020-08-27,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
gtable,0.3.0,0.3.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/gtable,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/gtable,FALSE,FALSE,2019-03-25,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
haven,2.3.1,2.3.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/haven,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/haven,FALSE,FALSE,2020-06-01,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
highr,0.8,0.8,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/highr,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/highr,FALSE,FALSE,2019-03-20,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
hms,1.0.0,1.0.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/hms,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/hms,FALSE,FALSE,2021-01-13,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
htmltools,0.5.1.1,0.5.1.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/htmltools,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/htmltools,FALSE,FALSE,2021-01-22,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
httr,1.4.2,1.4.2,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/httr,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/httr,FALSE,FALSE,2020-07-20,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
insight,0.13.1,0.13.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/insight,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/insight,FALSE,FALSE,2021-02-22,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
iterators,1.0.13,1.0.13,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/iterators,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/iterators,TRUE,FALSE,2020-10-15,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
jsonlite,1.7.2,1.7.2,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/jsonlite,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/jsonlite,FALSE,FALSE,2020-12-09,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
kableExtra,1.3.4,1.3.4,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/kableExtra,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/kableExtra,TRUE,FALSE,2021-02-20,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
